id,word,pronunciation,meaning_ja,example_en,example_ja,category,difficulty,correct_count,wrong_count,last_studied
1,incorporate,in-KOR-puh-rayt,"取り入れる、組み込む",We need to incorporate user feedback into the next version.,次のバージョンにユーザーの意見を取り入れる必要があります。,Business,4,0,0,
2,consolidate,kun-SOL-ih-dayt,"統合する、強化する",The team will consolidate multiple reports into one dashboard.,チームは複数のレポートを1つのダッシュボードに統合します。,Business,4,0,0,
3,appropriate,uh-PROH-pree-uht,適切な,Please choose the most appropriate response for the situation.,その状況に最も適切な返答を選んでください。,Academic,3,0,0,
4,implement,IM-pluh-ment,"実行する、実装する",The company plans to implement a new training program.,会社は新しい研修プログラムを実施する予定です。,Business,3,0,0,
5,overlook,oh-ver-LOOK,"見落とす、大目に見る",It is easy to overlook small errors when you are tired.,疲れていると小さな誤りを見落としやすいです。,Daily,3,0,0,
6,fatigue,fuh-TEEG,疲労,Long meetings can cause mental fatigue.,長い会議は精神的な疲労を引き起こすことがあります。,Health,2,0,0,
7,retention,ree-TEN-shun,"保持、定着",Regular review improves vocabulary retention.,定期的な復習は語彙の定着を高めます。,Learning,4,0,0,
8,elaborate,ih-LAB-uh-rayt,詳しく説明する,Could you elaborate on your main idea?,主な考えについて詳しく説明してもらえますか。,Academic,3,0,0,
9,conversely,KON-ver-slee,"反対に、逆に","Some tasks require speed; conversely, others require careful planning.",速さが必要な作業もありますが、逆に慎重な計画が必要な作業もあります。,Academic,4,0,0,
10,recurrent,ree-KUR-unt,繰り返し起こる,The app helps users review recurrent mistakes.,そのアプリはユーザーが繰り返し起こる間違いを復習するのに役立ちます。,Academic,4,0,0,
